Time,Test MAE,Test RMSE
1-24h,53.76237487792969,64.41641235351562
25-48h,61.5910530090332,83.25255584716797
49-72h,56.95033264160156,83.49984741210938
SuddenChange,70.32855987548828,92.70137023925781
